step,epoch,batch_idx,loss,lr,wall_time
50,1,49,7.438329,5.000000e-05,117.36
100,1,99,3.042260,1.000000e-04,147.22
150,1,149,2.830427,1.500000e-04,177.50
200,1,199,1.918447,2.000000e-04,206.27
250,1,249,0.763164,2.500000e-04,234.70
300,1,299,0.532140,3.000000e-04,262.99
350,1,349,0.411274,3.500000e-04,291.26
400,1,399,0.366666,4.000000e-04,322.31
450,1,449,0.332326,4.500000e-04,350.70
500,1,499,0.316701,5.000000e-04,378.93
550,1,549,0.324290,4.992515e-04,407.16
600,1,599,0.289144,4.985030e-04,435.61
650,1,649,0.268097,4.977545e-04,463.89
700,1,699,0.227554,4.970060e-04,498.16
750,1,749,0.223941,4.962575e-04,526.58
800,1,799,0.213960,4.955090e-04,554.74
850,1,849,0.239485,4.947605e-04,583.12
900,1,899,0.196473,4.940120e-04,611.30
950,1,949,0.183684,4.932635e-04,639.73
1000,1,999,0.215651,4.925150e-04,667.94
1050,1,1049,0.186719,4.917665e-04,696.14
1100,1,1099,0.174072,4.910180e-04,724.50
1150,1,1149,0.195527,4.902695e-04,752.76
1200,1,1199,0.190383,4.895210e-04,780.86
1250,1,1249,0.169665,4.887725e-04,809.10
1300,1,1299,0.184552,4.880240e-04,837.35
1350,1,1349,0.168991,4.872754e-04,865.77
1400,1,1399,0.173380,4.865269e-04,893.83
1450,1,1449,0.169451,4.857784e-04,922.08
1500,1,1499,0.171877,4.850299e-04,950.32
1550,1,1549,0.158924,4.842814e-04,978.68
1600,1,1599,0.159836,4.835329e-04,1006.85
1650,1,1649,0.162616,4.827844e-04,1035.10
1700,1,1699,0.148489,4.820359e-04,1063.42
1750,1,1749,0.163655,4.812874e-04,1091.63
1800,1,1799,0.151298,4.805389e-04,1120.01
1850,1,1849,0.152923,4.797904e-04,1148.21
1900,1,1899,0.169666,4.790419e-04,1176.70
1950,1,1949,0.149741,4.782934e-04,1204.94
2000,1,1999,0.147336,4.775449e-04,1233.11
2050,1,2049,0.140688,4.767964e-04,1261.68
2100,1,2099,0.141882,4.760479e-04,1290.00
2150,1,2149,0.130713,4.752994e-04,1318.24
2200,1,2199,0.141998,4.745509e-04,1346.42
2250,1,2249,0.146502,4.738024e-04,1374.62
2300,1,2299,0.134752,4.730539e-04,1402.81
2350,1,2349,0.141866,4.723054e-04,1431.07
2400,1,2399,0.154031,4.715569e-04,1459.35
2450,1,2449,0.146179,4.708084e-04,1487.93
2500,1,2499,0.140701,4.700599e-04,1516.03
2550,1,2549,0.128912,4.693114e-04,1544.16
2600,1,2599,0.129544,4.685629e-04,1572.43
2650,1,2649,0.150831,4.678144e-04,1600.73
2700,1,2699,0.155862,4.670659e-04,1628.97
2750,1,2749,0.154036,4.663174e-04,1657.02
2800,1,2799,0.115359,4.655689e-04,1686.01
2850,1,2849,0.125551,4.648204e-04,1714.02
2900,1,2899,0.138618,4.640719e-04,1742.42
2950,1,2949,0.130839,4.633234e-04,1770.64
3000,1,2999,0.129762,4.625749e-04,1798.67
3050,1,3049,0.118004,4.618263e-04,1827.05
3100,1,3099,0.125334,4.610778e-04,1855.16
3150,1,3149,0.130925,4.603293e-04,1883.32
3200,1,3199,0.128046,4.595808e-04,1911.40
3250,1,3249,0.121794,4.588323e-04,1939.75
3300,1,3299,0.139631,4.580838e-04,1967.77
3350,1,3349,0.120157,4.573353e-04,1996.08
3390,1,3389,0.127250,4.567365e-04,2018.50
3400,2,9,0.118821,4.565868e-04,2111.92
3450,2,59,0.142295,4.558383e-04,2139.92
3500,2,109,0.122239,4.550898e-04,2167.92
3550,2,159,0.125830,4.543413e-04,2195.99
3600,2,209,0.097824,4.535928e-04,2224.24
3650,2,259,0.115401,4.528443e-04,2252.65
3700,2,309,0.114710,4.520958e-04,2281.02
3750,2,359,0.109020,4.513473e-04,2309.33
3800,2,409,0.113997,4.505988e-04,2337.46
3850,2,459,0.120477,4.498503e-04,2365.70
3900,2,509,0.114328,4.491018e-04,2394.07
3950,2,559,0.098694,4.483533e-04,2422.21
4000,2,609,0.113911,4.476048e-04,2450.35
4050,2,659,0.106953,4.468563e-04,2478.63
4100,2,709,0.107887,4.461078e-04,2506.87
4150,2,759,0.112403,4.453593e-04,2534.96
4200,2,809,0.105869,4.446108e-04,2562.97
4250,2,859,0.106181,4.438623e-04,2591.25
4300,2,909,0.104531,4.431138e-04,2619.47
4350,2,959,0.112199,4.423653e-04,2647.68
4400,2,1009,0.102843,4.416168e-04,2675.92
4450,2,1059,0.099511,4.408683e-04,2704.01
4500,2,1109,0.097909,4.401198e-04,2732.01
4550,2,1159,0.110230,4.393713e-04,2759.81
4600,2,1209,0.115032,4.386228e-04,2788.12
4650,2,1259,0.115396,4.378743e-04,2816.11
4700,2,1309,0.116255,4.371257e-04,2844.26
4750,2,1359,0.104859,4.363772e-04,2872.29
4800,2,1409,0.109078,4.356287e-04,2900.66
4850,2,1459,0.104894,4.348802e-04,2928.88
4900,2,1509,0.105701,4.341317e-04,2957.17
4950,2,1559,0.129600,4.333832e-04,2985.23
5000,2,1609,0.105144,4.326347e-04,3013.36
5050,2,1659,0.111388,4.318862e-04,3041.36
5100,2,1709,0.111800,4.311377e-04,3069.53
5150,2,1759,0.110279,4.303892e-04,3097.70
5200,2,1809,0.112632,4.296407e-04,3126.00
5250,2,1859,0.116819,4.288922e-04,3154.19
5300,2,1909,0.106444,4.281437e-04,3182.72
5350,2,1959,0.111642,4.273952e-04,3210.85
5400,2,2009,0.114931,4.266467e-04,3239.04
5450,2,2059,0.104098,4.258982e-04,3267.34
5500,2,2109,0.103641,4.251497e-04,3295.72
5550,2,2159,0.107716,4.244012e-04,3323.94
5600,2,2209,0.106976,4.236527e-04,3352.07
5650,2,2259,0.109576,4.229042e-04,3380.39
5700,2,2309,0.106087,4.221557e-04,3408.51
5750,2,2359,0.103179,4.214072e-04,3436.77
5800,2,2409,0.106404,4.206587e-04,3464.97
5850,2,2459,0.105919,4.199102e-04,3493.28
5900,2,2509,0.114574,4.191617e-04,3521.64
5950,2,2559,0.124650,4.184132e-04,3549.89
6000,2,2609,0.119357,4.176647e-04,3578.25
6050,2,2659,0.092026,4.169162e-04,3606.44
6100,2,2709,0.111768,4.161677e-04,3634.76
6150,2,2759,0.102254,4.154192e-04,3663.00
6200,2,2809,0.098019,4.146707e-04,3691.03
