epoch,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,wall_time
1,0.042892,0.042868,0.043793,0.044743,0.050969,0.075877,0.060282,0.056963,0.056154,0.066084,0.196944,0.145604,0.116826,2531.95
2,0.033368,0.033858,0.035913,0.037818,0.046536,0.079624,0.062427,0.056114,0.053387,0.061676,0.223841,0.158255,0.117182,4553.87
3,0.028430,0.028643,0.031098,0.033202,0.043362,0.082507,0.064734,0.056279,0.052968,0.061665,0.227547,0.168927,0.120637,6574.67
4,0.025104,0.025402,0.027936,0.030490,0.041064,0.085207,0.066771,0.056603,0.052973,0.061464,0.223944,0.177234,0.125809,8594.50
5,0.023001,0.022990,0.025074,0.027724,0.038810,0.087574,0.067675,0.056042,0.052011,0.061580,0.223465,0.183786,0.130268,10614.25
6,0.021550,0.021292,0.022990,0.025717,0.037143,0.090439,0.069738,0.056611,0.051716,0.061982,0.218564,0.188527,0.133731,12634.85
7,0.020294,0.019943,0.021468,0.024160,0.036200,0.093584,0.072186,0.056998,0.051676,0.062884,0.215855,0.190313,0.134438,14654.13
8,0.019608,0.019082,0.020520,0.023313,0.035482,0.096450,0.074860,0.057525,0.051576,0.062449,0.209969,0.193299,0.135866,16673.79
9,0.019051,0.018422,0.019792,0.022522,0.034657,0.097277,0.076337,0.057655,0.051390,0.062471,0.208023,0.194737,0.137667,18692.73
10,0.018983,0.018334,0.019622,0.022370,0.034524,0.097836,0.076967,0.057845,0.051398,0.062511,0.206459,0.194974,0.138179,20712.37
