step,epoch,batch_idx,loss,lr,wall_time
50,1,49,7.082119,5.000000e-05,258.57
100,1,99,2.965766,1.000000e-04,326.63
150,1,149,2.152415,1.500000e-04,380.27
200,1,199,0.878759,2.000000e-04,417.60
250,1,249,0.560277,2.500000e-04,468.95
300,1,299,0.441996,3.000000e-04,504.05
350,1,349,0.386147,3.500000e-04,532.62
400,1,399,0.333141,4.000000e-04,574.20
450,1,449,0.293975,4.500000e-04,603.04
500,1,499,0.291136,5.000000e-04,655.34
550,1,549,0.278753,4.992515e-04,683.88
600,1,599,0.243108,4.985030e-04,726.66
650,1,649,0.241061,4.977545e-04,755.26
700,1,699,0.220348,4.970060e-04,784.57
750,1,749,0.216088,4.962575e-04,817.35
800,1,799,0.196283,4.955090e-04,854.98
850,1,849,0.202678,4.947605e-04,886.60
900,1,899,0.183234,4.940120e-04,916.97
950,1,949,0.174665,4.932635e-04,960.83
1000,1,999,0.193172,4.925150e-04,989.67
1050,1,1049,0.170206,4.917665e-04,1018.19
1100,1,1099,0.168981,4.910180e-04,1059.52
1150,1,1149,0.164656,4.902695e-04,1091.20
1200,1,1199,0.158613,4.895210e-04,1122.99
1250,1,1249,0.155278,4.887725e-04,1161.46
1300,1,1299,0.170277,4.880240e-04,1191.01
1350,1,1349,0.158485,4.872754e-04,1288.25
1400,1,1399,0.156272,4.865269e-04,1316.62
1450,1,1449,0.147993,4.857784e-04,1345.19
1500,1,1499,0.159477,4.850299e-04,1377.79
1550,1,1549,0.142656,4.842814e-04,1406.47
1600,1,1599,0.151955,4.835329e-04,1437.22
1650,1,1649,0.142334,4.827844e-04,1471.63
1700,1,1699,0.134601,4.820359e-04,1500.27
1750,1,1749,0.139246,4.812874e-04,1532.45
1800,1,1799,0.141066,4.805389e-04,1562.27
1850,1,1849,0.135721,4.797904e-04,1618.29
1900,1,1899,0.153851,4.790419e-04,1647.11
1950,1,1949,0.128784,4.782934e-04,1675.66
2000,1,1999,0.130492,4.775449e-04,1715.62
2050,1,2049,0.129127,4.767964e-04,1744.51
2100,1,2099,0.126878,4.760479e-04,1773.78
