step,epoch,batch_idx,loss,lr,wall_time
50,1,49,6.871821,5.000000e-05,59.88
100,1,99,2.942584,1.000000e-04,92.28
150,1,149,2.377745,1.500000e-04,122.24
200,1,199,0.987036,2.000000e-04,151.89
250,1,249,0.595977,2.500000e-04,182.65
300,1,299,0.454660,3.000000e-04,212.59
350,1,349,0.411042,3.500000e-04,242.41
400,1,399,0.345399,4.000000e-04,271.94
450,1,449,0.310592,4.500000e-04,301.75
500,1,499,0.300987,5.000000e-04,331.55
550,1,549,0.302292,4.992894e-04,361.46
600,1,599,0.299517,4.985787e-04,391.18
650,1,649,0.252601,4.978681e-04,420.70
700,1,699,0.249512,4.971575e-04,450.25
750,1,749,0.227253,4.964468e-04,479.93
800,1,799,0.244578,4.957362e-04,510.19
850,1,849,0.217486,4.950256e-04,539.75
900,1,899,0.206514,4.943150e-04,569.59
950,1,949,0.199395,4.936043e-04,599.61
1000,1,999,0.198213,4.928937e-04,629.50
1050,1,1049,0.197817,4.921831e-04,659.20
1100,1,1099,0.197279,4.914724e-04,688.91
1150,1,1149,0.190067,4.907618e-04,718.28
1200,1,1199,0.192950,4.900512e-04,748.00
1250,1,1249,0.179526,4.893405e-04,777.80
1300,1,1299,0.170688,4.886299e-04,807.46
1350,1,1349,0.168922,4.879193e-04,837.29
1400,1,1399,0.174559,4.872086e-04,866.80
1450,1,1449,0.170228,4.864980e-04,896.46
1500,1,1499,0.171684,4.857874e-04,926.20
1550,1,1549,0.164919,4.850767e-04,955.76
1600,1,1599,0.164924,4.843661e-04,985.29
1650,1,1649,0.160653,4.836555e-04,1014.93
1700,1,1699,0.161380,4.829449e-04,1044.45
1750,1,1749,0.159666,4.822342e-04,1073.97
1800,1,1799,0.154366,4.815236e-04,1103.51
1850,1,1849,0.161667,4.808130e-04,1132.74
1900,1,1899,0.148320,4.801023e-04,1162.51
1950,1,1949,0.169286,4.793917e-04,1192.11
2000,1,1999,0.157696,4.786811e-04,1221.41
2050,1,2049,0.156994,4.779704e-04,1251.04
2100,1,2099,0.149850,4.772598e-04,1280.40
2150,1,2149,0.168151,4.765492e-04,1309.47
