step,epoch,batch_idx,loss,lr,wall_time
50,1,49,6.534132,5.000000e-05,34.75
100,1,99,2.932868,1.000000e-04,67.27
150,1,149,2.878639,1.500000e-04,97.47
200,1,199,2.776245,2.000000e-04,127.69
250,1,249,1.493834,2.500000e-04,157.36
300,1,299,0.705282,3.000000e-04,187.44
350,1,349,0.537678,3.500000e-04,217.34
400,1,399,0.467945,4.000000e-04,246.92
450,1,449,0.409692,4.500000e-04,277.07
500,1,499,0.390122,5.000000e-04,306.84
550,1,549,0.366172,4.991085e-04,336.60
600,1,599,0.342286,4.982171e-04,366.29
650,1,649,0.305874,4.973256e-04,396.04
700,1,699,0.302379,4.964342e-04,425.80
750,1,749,0.272501,4.955427e-04,455.45
800,1,799,0.264811,4.946513e-04,485.33
850,1,849,0.273308,4.937598e-04,515.00
900,1,899,0.258699,4.928683e-04,544.94
950,1,949,0.260425,4.919769e-04,574.66
1000,1,999,0.242366,4.910854e-04,604.54
1050,1,1049,0.223484,4.901940e-04,634.35
1100,1,1099,0.245516,4.893025e-04,663.91
1150,1,1149,0.223555,4.884111e-04,693.82
1200,1,1199,0.223547,4.875196e-04,723.36
1250,1,1249,0.225429,4.866282e-04,754.37
1300,1,1299,0.214338,4.857367e-04,783.77
1350,1,1349,0.205743,4.848452e-04,813.46
1400,1,1399,0.209470,4.839538e-04,842.89
1450,1,1449,0.215758,4.830623e-04,872.49
1500,1,1499,0.212649,4.821709e-04,902.24
1550,1,1549,0.203129,4.812794e-04,931.87
1600,1,1599,0.212675,4.803880e-04,961.57
1650,1,1649,0.190309,4.794965e-04,991.31
1700,1,1699,0.195180,4.786050e-04,1020.98
1750,1,1749,0.190068,4.777136e-04,1050.77
1800,1,1799,0.197074,4.768221e-04,1080.38
1850,1,1849,0.197373,4.759307e-04,1110.00
1900,1,1899,0.204168,4.750392e-04,1139.30
1950,1,1949,0.176538,4.741478e-04,1169.04
2000,1,1999,0.181528,4.732563e-04,1198.62
2050,1,2049,0.191659,4.723649e-04,1228.23
2100,1,2099,0.173756,4.714734e-04,1258.06
2150,1,2149,0.168867,4.705819e-04,1287.61
2200,1,2199,0.175611,4.696905e-04,1317.27
2250,1,2249,0.186174,4.687990e-04,1346.85
2300,1,2299,0.176929,4.679076e-04,1376.77
2350,1,2349,0.170856,4.670161e-04,1406.29
2400,1,2399,0.182212,4.661247e-04,1435.76
2450,1,2449,0.179345,4.652332e-04,1465.42
2500,1,2499,0.179574,4.643417e-04,1494.69
2550,1,2549,0.178527,4.634503e-04,1524.41
2600,1,2599,0.196936,4.625588e-04,1553.92
2650,1,2649,0.172922,4.616674e-04,1583.80
2700,1,2699,0.179672,4.607759e-04,1613.24
2750,1,2749,0.163083,4.598845e-04,1643.45
2800,1,2799,0.179410,4.589930e-04,1672.86
2850,1,2849,0.168721,4.581016e-04,1702.83
2900,1,2899,0.150316,4.572101e-04,1732.64
2950,1,2949,0.160474,4.563186e-04,1762.41
3000,1,2999,0.169763,4.554272e-04,1792.36
3050,1,3049,0.151796,4.545357e-04,1822.02
3100,1,3099,0.167232,4.536443e-04,1851.79
