step,epoch,batch_idx,loss,lr,wall_time
50,1,49,7.373281,5.000000e-05,34.80
100,1,99,2.922931,1.000000e-04,66.90
150,1,149,2.857947,1.500000e-04,97.07
200,1,199,2.846930,2.000000e-04,127.71
250,1,249,2.825061,2.500000e-04,157.33
300,1,299,2.474023,3.000000e-04,187.36
350,1,349,1.936264,3.500000e-04,217.23
400,1,399,1.558833,4.000000e-04,246.78
450,1,449,1.330976,4.500000e-04,276.90
500,1,499,1.163098,5.000000e-04,306.64
550,1,549,1.041999,4.991085e-04,336.36
600,1,599,0.943799,4.982171e-04,366.03
650,1,649,0.864391,4.973256e-04,395.75
700,1,699,0.802368,4.964342e-04,425.49
750,1,749,0.722631,4.955427e-04,455.10
800,1,799,0.695471,4.946513e-04,484.95
850,1,849,0.689021,4.937598e-04,514.59
900,1,899,0.649579,4.928683e-04,544.51
950,1,949,0.633234,4.919769e-04,574.20
1000,1,999,0.598464,4.910854e-04,604.04
1050,1,1049,0.562333,4.901940e-04,633.82
1100,1,1099,0.568374,4.893025e-04,663.36
1150,1,1149,0.538148,4.884111e-04,693.24
1200,1,1199,0.522705,4.875196e-04,722.76
1250,1,1249,0.515830,4.866282e-04,752.49
1300,1,1299,0.498202,4.857367e-04,781.87
1350,1,1349,0.488359,4.848452e-04,811.53
1400,1,1399,0.482570,4.839538e-04,840.93
1450,1,1449,0.481744,4.830623e-04,870.51
1500,1,1499,0.471954,4.821709e-04,900.24
1550,1,1549,0.444636,4.812794e-04,929.85
1600,1,1599,0.454913,4.803880e-04,959.54
1650,1,1649,0.427050,4.794965e-04,989.27
1700,1,1699,0.432678,4.786050e-04,1018.93
1750,1,1749,0.426292,4.777136e-04,1048.72
1800,1,1799,0.430456,4.768221e-04,1078.32
1850,1,1849,0.428537,4.759307e-04,1107.93
1900,1,1899,0.413143,4.750392e-04,1137.23
1950,1,1949,0.388460,4.741478e-04,1166.96
2000,1,1999,0.393329,4.732563e-04,1196.53
2050,1,2049,0.392547,4.723649e-04,1226.14
2100,1,2099,0.383908,4.714734e-04,1255.97
2150,1,2149,0.376849,4.705819e-04,1285.50
2200,1,2199,0.368252,4.696905e-04,1315.16
2250,1,2249,0.385734,4.687990e-04,1344.76
2300,1,2299,0.380548,4.679076e-04,1374.30
2350,1,2349,0.366690,4.670161e-04,1403.82
2400,1,2399,0.367275,4.661247e-04,1433.26
2450,1,2449,0.363259,4.652332e-04,1462.92
2500,1,2499,0.353320,4.643417e-04,1492.18
2550,1,2549,0.357581,4.634503e-04,1521.90
2600,1,2599,0.373220,4.625588e-04,1551.41
2650,1,2649,0.344371,4.616674e-04,1581.29
2700,1,2699,0.352130,4.607759e-04,1610.72
2750,1,2749,0.337433,4.598845e-04,1640.46
2800,1,2799,0.343318,4.589930e-04,1669.86
2850,1,2849,0.344328,4.581016e-04,1699.85
2900,1,2899,0.330445,4.572101e-04,1729.66
2950,1,2949,0.328671,4.563186e-04,1759.42
3000,1,2999,0.328409,4.554272e-04,1789.37
3050,1,3049,0.308089,4.545357e-04,1819.01
3100,1,3099,0.323875,4.536443e-04,1848.77
3150,1,3149,0.318004,4.527528e-04,1878.34
3200,1,3199,0.323658,4.518614e-04,1908.05
3250,1,3249,0.315797,4.509699e-04,1937.75
3300,1,3299,0.303877,4.500784e-04,1967.33
3350,1,3349,0.310183,4.491870e-04,1996.96
3400,1,3399,0.303420,4.482955e-04,2026.95
3450,1,3449,0.305126,4.474041e-04,2056.42
3500,1,3499,0.289974,4.465126e-04,2086.03
