step,epoch,batch_idx,loss,lr,wall_time
50,1,49,6.503295,5.000000e-05,93.72
100,1,99,2.952821,1.000000e-04,125.35
150,1,149,2.878640,1.500000e-04,155.73
200,1,199,2.752539,2.000000e-04,185.77
250,1,249,1.416847,2.500000e-04,215.56
300,1,299,0.693765,3.000000e-04,245.78
350,1,349,0.536539,3.500000e-04,275.82
400,1,399,0.468154,4.000000e-04,305.56
450,1,449,0.408523,4.500000e-04,336.25
500,1,499,0.388315,5.000000e-04,367.39
550,1,549,0.369439,4.991085e-04,397.31
600,1,599,0.340688,4.982171e-04,427.15
650,1,649,0.308501,4.973256e-04,457.05
700,1,699,0.304343,4.964342e-04,486.94
750,1,749,0.270683,4.955427e-04,516.69
800,1,799,0.264985,4.946513e-04,546.71
850,1,849,0.271655,4.937598e-04,576.51
900,1,899,0.260685,4.928683e-04,606.56
950,1,949,0.257243,4.919769e-04,637.40
1000,1,999,0.243887,4.910854e-04,667.41
1050,1,1049,0.225186,4.901940e-04,697.33
1100,1,1099,0.244533,4.893025e-04,726.99
1150,1,1149,0.223109,4.884111e-04,757.38
1200,1,1199,0.226507,4.875196e-04,787.05
1250,1,1249,0.222730,4.866282e-04,816.93
1300,1,1299,0.211194,4.857367e-04,846.45
1350,1,1349,0.207466,4.848452e-04,876.25
1400,1,1399,0.211774,4.839538e-04,905.80
1450,1,1449,0.211466,4.830623e-04,935.51
1500,1,1499,0.215950,4.821709e-04,965.40
1550,1,1549,0.202714,4.812794e-04,995.12
1600,1,1599,0.206305,4.803880e-04,1024.91
1650,1,1649,0.190998,4.794965e-04,1054.76
1700,1,1699,0.195561,4.786050e-04,1084.52
1750,1,1749,0.194362,4.777136e-04,1114.41
1800,1,1799,0.199752,4.768221e-04,1144.15
1850,1,1849,0.195753,4.759307e-04,1173.90
1900,1,1899,0.205843,4.750392e-04,1203.34
1950,1,1949,0.179242,4.741478e-04,1233.21
2000,1,1999,0.184390,4.732563e-04,1262.91
2050,1,2049,0.192737,4.723649e-04,1292.64
2100,1,2099,0.174660,4.714734e-04,1322.61
2150,1,2149,0.170968,4.705819e-04,1352.30
2200,1,2199,0.175212,4.696905e-04,1382.11
2250,1,2249,0.190869,4.687990e-04,1411.83
2300,1,2299,0.180315,4.679076e-04,1441.53
2350,1,2349,0.169888,4.670161e-04,1471.21
2400,1,2399,0.182916,4.661247e-04,1500.81
2450,1,2449,0.178586,4.652332e-04,1530.62
2500,1,2499,0.178928,4.643417e-04,1560.03
2550,1,2549,0.175127,4.634503e-04,1589.89
2600,1,2599,0.198214,4.625588e-04,1619.55
2650,1,2649,0.170685,4.616674e-04,1649.57
2700,1,2699,0.180153,4.607759e-04,1679.15
2750,1,2749,0.163830,4.598845e-04,1709.03
2800,1,2799,0.184553,4.589930e-04,1738.58
2850,1,2849,0.167628,4.581016e-04,1769.21
2900,1,2899,0.152884,4.572101e-04,1799.16
2950,1,2949,0.158886,4.563186e-04,1829.06
3000,1,2999,0.173854,4.554272e-04,1859.14
3050,1,3049,0.155117,4.545357e-04,1888.93
3100,1,3099,0.169949,4.536443e-04,1918.84
3150,1,3149,0.157251,4.527528e-04,1948.57
3200,1,3199,0.168795,4.518614e-04,1978.43
3250,1,3249,0.167208,4.509699e-04,2008.29
3300,1,3299,0.155034,4.500784e-04,2038.00
3350,1,3349,0.158579,4.491870e-04,2067.79
3400,1,3399,0.150606,4.482955e-04,2097.91
3450,1,3449,0.159771,4.474041e-04,2127.53
3500,1,3499,0.147411,4.465126e-04,2157.29
3550,1,3549,0.148856,4.456212e-04,2187.12
3568,1,3567,0.137888,4.453002e-04,2197.65
3600,2,31,0.153686,4.447297e-04,2390.81
3650,2,81,0.145021,4.438383e-04,2420.56
3700,2,131,0.135544,4.429468e-04,2450.37
3750,2,181,0.159017,4.420553e-04,2480.08
3800,2,231,0.151497,4.411639e-04,2509.71
3850,2,281,0.142518,4.402724e-04,2539.66
3900,2,331,0.146394,4.393810e-04,2569.44
3950,2,381,0.135858,4.384895e-04,2598.96
4000,2,431,0.136758,4.375981e-04,2628.93
4050,2,481,0.142730,4.367066e-04,2658.87
4100,2,531,0.143119,4.358151e-04,2688.59
4150,2,581,0.139866,4.349237e-04,2718.41
4200,2,631,0.142832,4.340322e-04,2748.19
4250,2,681,0.142764,4.331408e-04,2777.89
4300,2,731,0.147719,4.322493e-04,2807.56
4350,2,781,0.144802,4.313579e-04,2837.34
4400,2,831,0.138811,4.304664e-04,2867.32
4450,2,881,0.128724,4.295750e-04,2897.34
4500,2,931,0.131431,4.286835e-04,2927.11
4550,2,981,0.145136,4.277920e-04,2956.71
4600,2,1031,0.138938,4.269006e-04,2986.48
4650,2,1081,0.134861,4.260091e-04,3016.28
4700,2,1131,0.147305,4.251177e-04,3045.77
4750,2,1181,0.134655,4.242262e-04,3075.72
4800,2,1231,0.139778,4.233348e-04,3105.45
4850,2,1281,0.150172,4.224433e-04,3135.18
4900,2,1331,0.134721,4.215518e-04,3165.04
4950,2,1381,0.134904,4.206604e-04,3194.74
5000,2,1431,0.135938,4.197689e-04,3224.50
5050,2,1481,0.131673,4.188775e-04,3254.30
5100,2,1531,0.147567,4.179860e-04,3283.98
5150,2,1581,0.132896,4.170946e-04,3313.77
5200,2,1631,0.138865,4.162031e-04,3343.51
5250,2,1681,0.142305,4.153117e-04,3373.60
5300,2,1731,0.149186,4.144202e-04,3403.31
5350,2,1781,0.144812,4.135287e-04,3433.12
5400,2,1831,0.127889,4.126373e-04,3463.19
5450,2,1881,0.142387,4.117458e-04,3493.19
5500,2,1931,0.139321,4.108544e-04,3523.15
5550,2,1981,0.135236,4.099629e-04,3552.50
5600,2,2031,0.135193,4.090715e-04,3581.95
5650,2,2081,0.134039,4.081800e-04,3611.78
5700,2,2131,0.130351,4.072885e-04,3641.49
5750,2,2181,0.139482,4.063971e-04,3671.38
5800,2,2231,0.132407,4.055056e-04,3701.45
5850,2,2281,0.142140,4.046142e-04,3731.26
5900,2,2331,0.139813,4.037227e-04,3761.07
5950,2,2381,0.133776,4.028313e-04,3790.94
6000,2,2431,0.124653,4.019398e-04,3820.73
6050,2,2481,0.135691,4.010484e-04,3850.47
6100,2,2531,0.131650,4.001569e-04,3880.16
6150,2,2581,0.122842,3.992654e-04,3909.71
6200,2,2631,0.129306,3.983740e-04,3939.51
6250,2,2681,0.137319,3.974825e-04,3969.22
6300,2,2731,0.133126,3.965911e-04,3998.98
6350,2,2781,0.120775,3.956996e-04,4028.64
6400,2,2831,0.129393,3.948082e-04,4058.39
6450,2,2881,0.143457,3.939167e-04,4088.08
6500,2,2931,0.146783,3.930252e-04,4117.71
6550,2,2981,0.133431,3.921338e-04,4147.53
6600,2,3031,0.137486,3.912423e-04,4177.16
6650,2,3081,0.124896,3.903509e-04,4206.88
6700,2,3131,0.135259,3.894594e-04,4236.69
6750,2,3181,0.124562,3.885680e-04,4266.52
6800,2,3231,0.130747,3.876765e-04,4296.13
6850,2,3281,0.139702,3.867851e-04,4325.85
6900,2,3331,0.138604,3.858936e-04,4355.66
6950,2,3381,0.129602,3.850021e-04,4385.37
7000,2,3431,0.130769,3.841107e-04,4415.01
7050,2,3481,0.133367,3.832192e-04,4444.80
7100,2,3531,0.122742,3.823278e-04,4474.62
7136,2,3567,0.125458,3.816859e-04,4495.75
7150,3,13,0.114747,3.814363e-04,4675.17
7200,3,63,0.116709,3.805449e-04,4704.88
7250,3,113,0.105503,3.796534e-04,4734.64
7300,3,163,0.104672,3.787619e-04,4764.27
7350,3,213,0.112830,3.778705e-04,4793.98
7400,3,263,0.116364,3.769790e-04,4823.73
7450,3,313,0.105525,3.760876e-04,4853.36
7500,3,363,0.113800,3.751961e-04,4882.87
7550,3,413,0.106100,3.743047e-04,4912.66
7600,3,463,0.106431,3.734132e-04,4942.53
7650,3,513,0.104319,3.725218e-04,4972.43
7700,3,563,0.106629,3.716303e-04,5002.10
7750,3,613,0.108291,3.707388e-04,5031.98
7800,3,663,0.113821,3.698474e-04,5061.69
7850,3,713,0.110855,3.689559e-04,5091.61
7900,3,763,0.115708,3.680645e-04,5121.35
7950,3,813,0.110761,3.671730e-04,5151.11
8000,3,863,0.117657,3.662816e-04,5181.30
8050,3,913,0.116924,3.653901e-04,5211.13
8100,3,963,0.107639,3.644986e-04,5240.71
8150,3,1013,0.111241,3.636072e-04,5270.41
8200,3,1063,0.111439,3.627157e-04,5300.08
8250,3,1113,0.118340,3.618243e-04,5329.74
8300,3,1163,0.113767,3.609328e-04,5359.57
8350,3,1213,0.116569,3.600414e-04,5389.29
8400,3,1263,0.106619,3.591499e-04,5419.02
8450,3,1313,0.112546,3.582585e-04,5448.81
8500,3,1363,0.114614,3.573670e-04,5478.68
8550,3,1413,0.123338,3.564755e-04,5508.30
8600,3,1463,0.116871,3.555841e-04,5538.26
8650,3,1513,0.111143,3.546926e-04,5568.05
8700,3,1563,0.101916,3.538012e-04,5597.89
8750,3,1613,0.104787,3.529097e-04,5627.83
8800,3,1663,0.115840,3.520183e-04,5657.60
8850,3,1713,0.108925,3.511268e-04,5687.41
8900,3,1763,0.115570,3.502353e-04,5716.97
8950,3,1813,0.105548,3.493439e-04,5746.93
9000,3,1863,0.112749,3.484524e-04,5776.78
9050,3,1913,0.118376,3.475610e-04,5806.44
9100,3,1963,0.109200,3.466695e-04,5836.22
9150,3,2013,0.112584,3.457781e-04,5865.85
9200,3,2063,0.105667,3.448866e-04,5895.44
9250,3,2113,0.118823,3.439952e-04,5925.37
9300,3,2163,0.116435,3.431037e-04,5955.44
9350,3,2213,0.119816,3.422122e-04,5985.50
9400,3,2263,0.123731,3.413208e-04,6015.21
9450,3,2313,0.116018,3.404293e-04,6045.05
9500,3,2363,0.114730,3.395379e-04,6074.86
9550,3,2413,0.106316,3.386464e-04,6104.45
9600,3,2463,0.113517,3.377550e-04,6134.20
9650,3,2513,0.108397,3.368635e-04,6163.93
9700,3,2563,0.108713,3.359720e-04,6193.65
9750,3,2613,0.117252,3.350806e-04,6223.41
9800,3,2663,0.112826,3.341891e-04,6253.00
9850,3,2713,0.107628,3.332977e-04,6283.00
9900,3,2763,0.114690,3.324062e-04,6312.66
9950,3,2813,0.114209,3.315148e-04,6342.35
10000,3,2863,0.115154,3.306233e-04,6372.06
10050,3,2913,0.112776,3.297318e-04,6402.09
10100,3,2963,0.124795,3.288404e-04,6431.93
10150,3,3013,0.120833,3.279489e-04,6461.84
10200,3,3063,0.108479,3.270575e-04,6491.76
10250,3,3113,0.108418,3.261660e-04,6521.55
10300,3,3163,0.110347,3.252746e-04,6551.43
10350,3,3213,0.108974,3.243831e-04,6581.12
10400,3,3263,0.113108,3.234917e-04,6610.86
10450,3,3313,0.121387,3.226002e-04,6640.91
10500,3,3363,0.118442,3.217087e-04,6670.63
10550,3,3413,0.114511,3.208173e-04,6700.53
10600,3,3463,0.106320,3.199258e-04,6730.50
10650,3,3513,0.112427,3.190344e-04,6760.22
10700,3,3563,0.109122,3.181429e-04,6789.73
10704,3,3567,0.150285,3.180716e-04,6791.90
10750,4,45,0.096197,3.172515e-04,6990.30
10800,4,95,0.105176,3.163600e-04,7020.09
10850,4,145,0.092898,3.154685e-04,7049.92
10900,4,195,0.092435,3.145771e-04,7079.76
10950,4,245,0.087109,3.136856e-04,7109.73
11000,4,295,0.095589,3.127942e-04,7139.62
11050,4,345,0.101388,3.119027e-04,7169.19
11100,4,395,0.092391,3.110113e-04,7198.91
11150,4,445,0.098219,3.101198e-04,7228.69
11200,4,495,0.088063,3.092284e-04,7258.40
11250,4,545,0.087300,3.083369e-04,7288.08
11300,4,595,0.092482,3.074454e-04,7317.78
11350,4,645,0.090741,3.065540e-04,7347.64
11400,4,695,0.090161,3.056625e-04,7377.66
11450,4,745,0.096837,3.047711e-04,7407.56
11500,4,795,0.100109,3.038796e-04,7437.37
11550,4,845,0.089987,3.029882e-04,7467.02
11600,4,895,0.098409,3.020967e-04,7496.73
11650,4,945,0.094519,3.012052e-04,7526.34
11700,4,995,0.096353,3.003138e-04,7556.00
11750,4,1045,0.107296,2.994223e-04,7585.60
11800,4,1095,0.101970,2.985309e-04,7615.43
11850,4,1145,0.088305,2.976394e-04,7645.02
11900,4,1195,0.098298,2.967480e-04,7674.71
11950,4,1245,0.094887,2.958565e-04,7704.38
12000,4,1295,0.093290,2.949651e-04,7734.26
12050,4,1345,0.093791,2.940736e-04,7763.93
12100,4,1395,0.089594,2.931821e-04,7793.67
12150,4,1445,0.094731,2.922907e-04,7823.41
12200,4,1495,0.091681,2.913992e-04,7853.11
12250,4,1545,0.100026,2.905078e-04,7882.82
12300,4,1595,0.101645,2.896163e-04,7912.63
12350,4,1645,0.097422,2.887249e-04,7942.24
12400,4,1695,0.102029,2.878334e-04,7972.01
